RB, JJS, IN, 2
PDT, VBN, VBG, 1
CD, WP, NNS, 5
WP, VBD, VBN, 137
JJR, NNS, VBZ, 1
JJ, NN, NNS, 1062
VBP, RBR, RB, 4
NN, VBN, PRP$, 18
PRP, VBN, PRP$, 3
JJ, WDT, VBN, 2
WRB, VBD, NNP, 1
WDT, VBN, VBG, 1
NNP, NNS, NNP, 2
IN, VBZ, WRB, 2
NN, TO, JJ, 106
DT, JJ, NNS, 1711
CC, NN, NNP, 9
TO, DT, NN, 1720
RB, CD, NNS, 54
VBD, VBD, JJ, 13
VB, VBN, PRP$, 20
VBP, RB, VB, 160
PRP, IN, EX, 3
LS, DT, NN, 3
VBN, VBD, NNP, 2
EX, VBD, VBG, 3
CC, NNS, WP, 17
PRP$, WRB, DT, 1
IN, NNP, RB, 1
VBD, TO, PRP, 86
JJ, MD, VB, 77
RB, JJ, VBN, 33
RB, VBP, JJR, 9
VBP, EX, VBP, 1
RB, CC, VB, 43
JJ, JJR, VBG, 3
IN, IN, DT, 869
NN, RBR, VBN, 1
RBR, VB, JJ, 3
TO, VBN, IN, 1
VBN, NN, VB, 2
PRP, WP, TO, 6
VB, CC, JJR, 3
RBR, CC, JJR, 14
VBG, MD, VB, 23
VBN, JJS, RB, 1
NN, WP, PRP$, 6
VBN, PRP$, PRP, 1
PRP, VB, VBD, 7
WDT, WRB, CC, 1
RBS, VBG, NN, 2
NNP, VBZ, TO, 2
JJ, CD, VBD, 4
DT, VBD, DT, 100
WDT, JJS, NN, 2
RB, JJ, WRB, 16
TO, VB, TO, 252
PRP, RB, VBD, 495
EX, VBD, PRP, 3
PRP$, RB, JJ, 15
NN, WDT, JJR, 4
VB, WP, PRP$, 4
NNS, MD, NNS, 2
IN, IN, EX, 8
NNP, NN, JJ, 1
VBD, NN, JJR, 5
VBD, RB, VBZ, 17
NN, EX, VBG, 2
VBN, WP, NN, 6
VBZ, RB, JJS, 1
VB, IN, IN, 119
VBZ, WP, PRP, 15
RP, CD, IN, 3
IN, WDT, DT, 128
VB, CD, VBZ, 2
VBD, CD, CD, 2
VBG, CC, MD, 1
WDT, JJ, IN, 9
WRB, DT, PRP, 1
RBR, RB, CC, 5
DT, CD, NN, 70
CC, DT, CC, 2
RBR, PRP, VBP, 4
IN, DT, VBD, 51
WDT, JJ, VBD, 5
WP, VBD, VBG, 28
WDT, DT, NN, 180
WP$, CD, NNS, 1
EX, IN, NN, 5
RB, IN, VBZ, 6
JJS, IN, RB, 7
PRP$, JJ, VBG, 13
VBP, VBN, VBN, 131
JJ, WDT, VBG, 1
VB, VBD, RB, 6
VBP, VBG, PRP, 14
VBD, NNS, VBG, 15
PRP, JJR, CC, 4
NNS, NNS, JJ, 19
WP, NNS, VBD, 12
PRP, NNP, VB, 1
CC, VBD, MD, 5
TO, CD, JJ, 8
JJ, VBN, EX, 4
WDT, VBP, IN, 17
PRP$, WRB, PRP$, 1
RB, RB, PRP$, 26
VBZ, WP, VBN, 1
RB, JJ, VBG, 7
DT, WP, NN, 27
MD, NN, IN, 2
CC, DT, VBG, 13
VBD, WP, PRP, 31
VBN, VBD, VBG, 3
VBZ, CD, MD, 2
CC, VBZ, PRP, 19
TO, NNS, VBN, 9
CC, EX, NN, 2
NNS, JJS, NN, 5
DT, WRB, JJ, 1
NN, CC, VBG, 282
JJ, WP, VBN, 4
VBP, PRP, VB, 109
VBG, WRB, VBD, 1
MD, IN, JJ, 9
NNS, VBN, NN, 31
NNS, RB, RBR, 11
NN, MD, TO, 5
VBD, RP, MD, 1
WP, JJ, CD, 1
VBD, JJS, PRP$, 1
JJS, RB, DT, 4
JJR, RB, PRP, 5
CC, JJ, VBD, 26
JJ, DT, RB, 12
NNS, RBR, PRP$, 1
WDT, CD, NN, 3
VB, NN, WRB, 12
NNS, RB, NN, 27
JJR, NNS, PRP, 4
VBG, RBR, JJ, 5
RBR, NN, MD, 1
PRP, VBN, TO, 4
CC, VB, IN, 108
PRP, JJR, NNS, 4
WDT, -NONE-, VBP, 3
IN, JJ, VB, 3
JJ, NN, RB, 537
RB, VBN, NNP, 2
PRP, NN, WP, 1
VBN, NN, VBN, 22
RB, JJ, PRP, 82
IN, VBG, WDT, 1
IN, NNS, CC, 472
IN, JJ, PRP, 66
VBD, VB, PRP, 6
DT, JJ, RB, 73
PRP$, CC, PRP, 6
VBN, CC, JJS, 4
JJR, JJ, VBZ, 2
VBG, NNS, TO, 27
NN, IN, CC, 104
RB, DT, VBG, 15
VBN, VBD, WRB, 1
NNS, RBR, RB, 11
PRP$, NN, NNP, 4
VBN, NNS, JJR, 4
MD, VB, PRP, 443
CD, MD, IN, 2
JJR, CD, CC, 1
IN, NN, WDT, 112
NN, CC, WRB, 43
JJ, RP, IN, 1
IN, IN, TO, 11
VBZ, JJS, TO, 3
VBG, IN, WDT, 4
JJR, RB, VB, 1
VBP, VBN, VBG, 41
NNP, CC, IN, 1
JJS, VBN, IN, 12
NNS, WP, VBG, 3
VBD, NNS, VBN, 13
PRP, WDT, VBD, 2
IN, VB, NNS, 1
JJ, VBN, VBZ, 1
NNS, RBR, IN, 13
NNP, NNP, VBD, 13
PRP$, CC, VB, 1
VB, RP, NN, 20
NN, RB, VBN, 204
RB, NN, JJ, 10
IN, RB, VBZ, 26
TO, VBG, JJ, 6
NNS, IN, VBP, 14
VBZ, CD, NNS, 11
RB, VBN, CC, 145
IN, VBD, PRP, 12
VBG, RP, IN, 51
JJ, VBD, PRP, 12
TO, JJ, JJR, 1
TO, IN, DT, 16
WP, RB, DT, 6
JJR, WRB, PRP, 3
VBZ, WP, JJ, 2
DT, VBN, VBZ, 4
JJ, JJ, DT, 21
CC, MD, RB, 48
VBG, CC, NN, 52
RP, JJ, NN, 23
PRP$, NN, VBG, 110
JJ, IN, WDT, 9
VBZ, JJR, RB, 3
VBN, WRB, NNP, 1
TO, VB, VBZ, 31
VBG, PRP, PRP$, 2
JJ, DT, JJ, 182
TO, WDT, PRP, 28
RB, PRP, VBP, 224
RB, VBZ, VBD, 5
RB, NNP, NN, 15
IN, VBZ, DT, 31
NNP, VBZ, NNS, 3
RB, WP, DT, 11
NNS, WP, VB, 3
WP, VBP, PRP$, 6
NN, IN, MD, 59
VB, WDT, VBZ, 3
PRP, RBS, RB, 2
VBD, CC, VBN, 120
NN, WDT, PRP$, 14
WDT, EX, VBG, 1
VBP, VBG, CD, 1
EX, VBD, NN, 68
TO, JJS, IN, 3
CC, NN, RP, 20
RB, DT, VBZ, 16
DT, IN, PRP, 146
IN, WP, IN, 1
NNP, VBD, VBP, 1
CC, JJ, NNS, 563
JJR, NN, JJR, 2
PRP, MD, JJR, 1
MD, DT, NN, 55
IN, EX, DT, 2
WRB, CC, NNP, 1
IN, VBN, WRB, 2
VBD, PRP, JJR, 13
VBP, IN, DT, 400
VBP, RP, TO, 14
JJ, VBP, NN, 7
VBP, DT, MD, 4
VBG, PRP, JJ, 22
VB, VBG, VBG, 1
NNS, RP, NNS, 1
TO, CC, IN, 6
JJ, RBS, JJ, 3
RB, JJS, NNS, 3
WDT, NNS, VBD, 5
WDT, JJ, NN, 33
VBG, RB, CD, 4
RP, PRP$, NN, 81
VBP, VBN, VBP, 4
IN, CC, CD, 1
JJS, NNS, PRP, 6
PRP$, JJR, IN, 1
CC, IN, NN, 272
VBN, JJ, VBN, 3
NN, RB, VBG, 122
VBD, CD, IN, 52
WP, -NONE-, VBZ, 1
MD, NNS, VB, 4
CC, CD, VBG, 1
CD, JJR, RB, 1
PDT, DT, NN, 15
VBN, CC, WRB, 8
VBD, JJ, WRB, 8
VBN, NNS, RBR, 1
NNS, WP, NNS, 5
WDT, PRP, WP, 1
VBP, VB, IN, 2
RB, JJ, JJ, 85
NN, DT, RB, 68
DT, NN, PRP, 1033
VBZ, CC, WP, 3
VBN, NN, DT, 49
VBP, NN, RB, 14
WP, RB, VBG, 1
WRB, VBN, VBN, 2
RB, TO, DT, 187
VBN, VBZ, DT, 9
CC, VBZ, JJR, 4
JJR, VBD, JJ, 3
WRB, NNS, CC, 5
VBP, VBD, TO, 7
NNS, MD, JJ, 1
CC, RB, JJR, 10
VBN, DT, JJR, 10
VBN, CC, RB, 98
RP, RB, CD, 1
WRB, EX, VBP, 3
VBZ, DT, VBZ, 2
PRP, VB, CD, 1
IN, PRP$, NN, 2745
NNP, VBD, RB, 3
-NONE-, VB, PRP, 1
JJS, NN, CC, 9
NNS, VBP, JJ, 276
JJS, JJS, NN, 2
PRP, TO, PRP$, 16
WP, JJR, NN, 1
PRP, VBP, VBD, 23
DT, VBD, PRP, 19
WDT, NN, PRP$, 8
WP, PRP, IN, 1
VBP, DT, IN, 32
WRB, VBN, NNS, 6
IN, JJR, VBN, 7
NN, PRP, VBD, 1360
VBG, PRP, WP, 2
VBD, RB, WRB, 12
VBP, NNS, VBZ, 4
RB, -NONE-, RB, 2
RP, NNS, CC, 7
VBG, VBD, CD, 1
VBN, NNP, NN, 13
VBP, NNS, JJR, 1
JJR, VBG, IN, 11
NNS, VBN, RP, 14
IN, NN, TO, 600
CC, TO, WP, 1
NNS, VBP, VBN, 594
NNP, NNP, NN, 94
MD, RB, RBS, 1
RP, CC, NNP, 2
PRP, VBD, JJ, 637
WRB, JJ, JJ, 7
JJ, RB, IN, 133
VB, PRP, TO, 89
TO, NN, PRP$, 41
VB, NNS, VBG, 14
IN, WDT, RB, 11
WDT, MD, JJS, 1
NN, NN, JJR, 2
RP, NNP, CC, 1
JJ, TO, RBR, 2
JJ, PRP, NNP, 2
NNP, NN, MD, 21
IN, JJ, NNS, 1953
RB, JJ, WP$, 1
DT, RBR, NNS, 8
RP, CC, RB, 8
TO, VBG, DT, 15
RB, WP, VBD, 9
VBN, VBN, VBN, 7
JJR, IN, JJR, 4
MD, DT, RB, 1
NN, RB, VBP, 70
CC, NN, VBG, 49
DT, VB, NNS, 1
RB, CC, VBP, 6
DT, VBZ, VB, 1
IN, NN, RB, 413
NNP, TO, VB, 3
CC, WRB, EX, 2
RP, JJ, PRP, 3
PRP, IN, WRB, 2
VBP, NN, JJ, 9
WRB, CC, IN, 5
VBG, WP, MD, 2
CD, CC, JJ, 10
VBG, DT, JJR, 11
PRP$, CC, RB, 3
IN, CC, PRP$, 4
VBG, JJR, IN, 8
WRB, NNS, MD, 9
RB, CD, VBZ, 4
TO, PRP, WP, 5
NN, PRP$, NN, 375
VBD, RB, PRP, 41
NNS, VB, JJR, 2
JJ, JJ, EX, 1
JJ, VBN, DT, 41
VB, WRB, NN, 10
WP, VBZ, TO, 11
DT, NNP, NNP, 32
NN, PRP, JJR, 3
CC, IN, NNS, 68
JJS, PRP$, NN, 2
JJ, RB, RBR, 2
CC, VBN, PRP, 28
NNS, WDT, WRB, 4
TO, NN, RP, 5
WRB, IN, PRP$, 2
PDT, DT, NNS, 9
IN, NNP, NN, 145
VB, TO, PRP$, 35
VBP, VBZ, VB, 1
IN, DT, WP, 66
VBN, PRP, NN, 8
TO, NN, DT, 120
PRP$, NNS, PRP, 44
DT, WDT, VBP, 8
NN, RBR, CC, 5
IN, JJR, VBG, 2
TO, NNS, WDT, 3
JJR, CC, JJ, 3
CC, VBD, VBD, 5
NN, NNS, IN, 1216
-NONE-, DT, NN, 3
VBG, CD, NN, 5
JJR, IN, PDT, 4
VBD, JJ, PRP, 35
VB, CC, VBP, 2
WP, CD, RB, 1
VBN, PRP, PRP, 14
RBR, TO, VB, 14
VBG, WRB, JJ, 5
-NONE-, VBP, NNS, 1
NNS, NNS, CC, 155
NNS, CC, JJ, 276
RB, NN, VBD, 57
PRP, DT, JJR, 4
NN, -NONE-, RB, 2
CC, IN, WDT, 10
TO, NN, PRP, 49
CD, VB, NN, 1
NNS, MD, VB, 742
VBP, DT, NNP, 7
WDT, RB, VB, 3
VBZ, WP, NNS, 8
VB, VBD, CD, 1
TO, CC, VBG, 2
WRB, VBG, PRP$, 1
JJ, VBN, PRP$, 13
IN, VBZ, CC, 1
VB, VBZ, JJ, 10
CC, JJ, JJ, 101
VBZ, VBN, PRP$, 47
NNS, VBG, VBP, 1
WP, IN, VBG, 1
NNS, PRP$, CD, 1
WP, -NONE-, VBD, 3
IN, RB, VBG, 91
VBG, WP, VBP, 1
RB, PRP$, TO, 2
VBP, WRB, VBG, 1
PRP$, IN, CD, 1
VB, DT, NNS, 396
CC, WP, JJ, 3
VB, IN, JJS, 14
WDT, DT, NNP, 4
DT, NN, NN, 6710
CC, VBP, WP, 1
NN, RP, PRP$, 8
-NONE-, VBD, PRP, 1
VBN, NN, NNS, 90
CC, JJR, CD, 1
RP, TO, PRP$, 14
PRP, TO, IN, 1
RB, VBD, NNS, 40
PRP$, NN, VBZ, 202
RP, VB, RP, 1
CD, NNS, PRP$, 4
IN, -NONE-, JJ, 1
PRP, JJR, VBN, 1
EX, VBZ, NN, 46
VBD, JJ, VBG, 2
TO, VB, VBG, 57
VBG, TO, IN, 3
TO, WDT, VBG, 1
JJ, WDT, RB, 1
NN, NNS, VBD, 444
RP, WRB, CC, 1
CC, EX, DT, 1
IN, JJS, DT, 26
NNS, VBP, DT, 241
RBS, VBG, IN, 3
WP, VB, JJ, 1
PRP, VBG, JJR, 2
DT, PRP, NNS, 2
NN, RB, NN, 104
VBZ, PRP, VB, 21
TO, NNS, CC, 42
VBD, IN, DT, 1534
VBN, WP$, NNS, 1
JJS, TO, PRP, 1
NNS, DT, RB, 32
JJS, MD, VB, 2
WDT, MD, TO, 1
RB, TO, JJ, 26
VBG, VBG, PRP, 3
PRP$, NNS, CD, 3
VBZ, NN, RB, 31
PRP, IN, NN, 213
NNP, NNP, PRP, 2
RP, DT, VBD, 1
JJ, IN, VBP, 1
PRP$, EX, VBD, 1
WP, VBZ, RBR, 1
PRP$, RB, VB, 1
NNS, VBN, RB, 32
DT, NNS, WP, 76
DT, RBR, RB, 11
VBD, RP, VBZ, 1
DT, VBN, -NONE-, 7
VB, NN, VBN, 12
IN, VBG, WP, 2
IN, NNS, PDT, 1
VB, PDT, JJ, 1
CC, IN, CC, 8
JJ, NN, VBN, 133
JJS, IN, WP, 4
CD, WDT, VBG, 1
NN, RBS, IN, 2
VBZ, PRP$, JJ, 37
JJ, VB, DT, 2
CC, VBD, RBR, 4
WDT, NN, CC, 6
JJ, JJR, RB, 1
WRB, DT, VBD, 6
VBG, CC, DT, 35
DT, VBD, JJR, 2
RB, DT, RBR, 4
NNS, CC, WP$, 1
EX, NNS, DT, 2
NNP, VBD, NNP, 3
TO, RBR, CC, 1
PRP, VBD, VB, 64
JJR, VBD, NNS, 7
IN, WDT, CC, 1
CC, VB, RB, 27
CC, DT, WP, 12
VB, RB, PRP$, 5
VB, WDT, PRP, 2
VBD, PDT, VBG, 2
VBD, NNS, CC, 49
NNP, NNS, IN, 14
CC, WDT, MD, 4
IN, JJ, JJR, 15
VBZ, CC, VBG, 3
NN, TO, CD, 19
VBP, PRP$, JJR, 2
NNP, IN, VBD, 1
VBG, NNS, JJ, 8
RB, EX, MD, 3
VBD, VBN, NN, 178
VBG, JJ, MD, 2
NNP, NNS, NN, 3
MD, PRP, MD, 1
DT, MD, PRP, 2
VBP, WDT, PRP, 1
IN, IN, WRB, 1
NNS, TO, VB, 759
RB, VB, CD, 12
-NONE-, VBG, NN, 3
WRB, JJS, VBP, 1
CC, IN, TO, 11
WRB, VBN, JJ, 2
RBR, NNS, TO, 2
VBZ, JJ, WRB, 9
IN, TO, NNS, 13
WP, JJ, WRB, 1
CC, WP, VBD, 16
WDT, RB, VBD, 22
CD, VBZ, JJ, 3
CD, JJ, RB, 4
VBZ, DT, IN, 27
VBZ, DT, VBG, 21
WP, VBZ, PRP, 29
DT, PRP, NN, 3
PRP$, NNS, RB, 123
JJR, DT, DT, 1
JJR, DT, PRP, 1
JJ, PRP, RB, 27
RBR, VBD, DT, 1
RB, CD, NN, 68
PRP, TO, NN, 9
DT, NNS, JJ, 67
WP, CD, NNS, 3
NN, VBN, DT, 94
VB, VBG, MD, 1
PRP$, VBN, VBZ, 1
VBD, RBR, NNS, 4
JJ, IN, VBG, 56
JJ, VBD, TO, 27
RP, WRB, DT, 3
IN, TO, PRP, 24
VBP, IN, PRP, 140
NNS, VBD, JJ, 175
DT, VBP, PRP, 2
JJ, VBZ, VB, 1
DT, CC, VBZ, 4
DT, JJ, WRB, 16
WRB, NN, JJ, 2
CC, EX, CC, 1
DT, VBN, PRP$, 1
VBP, RB, VBN, 296
VB, NNS, NNS, 13
CC, WP, NN, 7
EX, VBZ, IN, 5
VBG, VBG, IN, 4
CD, WDT, VBN, 3
IN, NNS, -NONE-, 3
VBD, DT, RB, 109
VBP, WP, VBZ, 9
JJ, EX, VBG, 1
PDT, NNS, JJR, 1
PRP$, JJS, WRB, 1
PRP, DT, DT, 16
WP, NNP, VBP, 1
IN, DT, CC, 67
NN, WP, VBZ, 108
CD, VBN, RB, 1
IN, NNS, NN, 87
CC, EX, JJ, 2
CC, NNS, WRB, 4
CD, CC, VBD, 2
TO, RB, CD, 2
NNS, TO, NN, 39
DT, NN, WP, 207
VB, JJ, MD, 2
VBN, JJ, CC, 42
NN, WRB, VBP, 3
VBN, PRP$, CD, 1
PRP, MD, VB, 2395
VBP, CC, WRB, 7
JJS, VBG, NN, 9
RB, DT, PRP$, 2
VBG, RP, WDT, 1
JJS, JJ, VBD, 2
JJR, DT, IN, 1
VBZ, PRP, WDT, 1
DT, RB, RB, 46
VBG, PRP, DT, 37
CD, PRP, RB, 3
WP, NNP, NNP, 1
PRP$, VBG, VBN, 1
WRB, PRP, VBP, 238
VB, DT, VBZ, 3
VBZ, NN, NNS, 19
VB, VBN, RB, 170
NN, VBD, IN, 1345
RP, VBG, JJ, 2
WP, NNS, WP, 1
CC, DT, NNS, 260
RB, NNS, WRB, 3
JJR, VBZ, DT, 2
RP, NN, VBD, 2
JJ, TO, CC, 2
WRB, NNS, VBN, 4
IN, NNP, IN, 4
TO, RBR, IN, 1
JJ, JJ, NNS, 570
PRP$, NNS, WRB, 12
DT, MD, IN, 10
DT, VBN, TO, 12
NN, WRB, VBG, 5
VBN, NN, TO, 73
TO, VB, WRB, 77
NNS, CC, PRP, 149
VBN, VBN, WP, 1
WRB, RB, NN, 4
VBD, IN, MD, 6
VBP, CC, MD, 2
NNP, VBZ, IN, 9
VB, PRP, PRP$, 3
VBP, JJR, RB, 4
WRB, DT, NN, 342
VBG, NN, RB, 41
NN, DT, IN, 82
VB, VBD, IN, 8
WDT, NNS, MD, 10
IN, WDT, NNS, 25
VBG, RP, NNS, 12
VBZ, PRP, MD, 12
CC, WDT, DT, 2
VB, MD, VB, 24
DT, VBZ, WRB, 18
IN, NN, PRP$, 101
PRP, CC, TO, 9
CC, JJS, VBN, 3
NN, RP, VBZ, 1
VBP, EX, NN, 1
JJ, VB, VBN, 4
VBP, DT, TO, 4
VB, VBG, NNS, 12
NNS, PRP$, NNS, 30
MD, RB, IN, 20
CC, DT, VBN, 18
NNS, VBZ, WDT, 1
VBG, IN, VBD, 4
VB, NN, NN, 162
RB, TO, NNS, 12
VBN, WDT, IN, 2
JJ, VBZ, VBZ, 1
VBP, TO, VBN, 2
CD, DT, RBR, 1
RB, DT, CC, 1
RB, VBD, JJ, 76
VBN, PRP$, JJR, 2
NNS, VBP, CC, 105
WDT, IN, JJ, 7
PRP, WRB, PRP$, 4
VBN, WRB, RB, 3
DT, VBZ, RBR, 2
VBD, NN, PRP$, 14
DT, VBN, WP, 1
NNP, NNP, RB, 5
WDT, TO, VB, 19
IN, TO, RB, 7
RBR, NNS, VBD, 1
RB, RP, TO, 1
NN, VBZ, JJR, 46
RP, IN, JJ, 51
NN, VB, PRP, 10
VBD, NNP, RB, 1
VBD, VBZ, VBN, 14
TO, PRP, WRB, 6
PRP, MD, WRB, 2
PRP, RB, JJ, 150
RB, IN, WP, 19
RB, DT, PRP, 6
WDT, IN, PRP$, 7
VBD, PRP, WRB, 15
VBZ, WRB, NNS, 2
JJR, MD, VB, 8
VBG, VBD, WRB, 1
JJ, TO, WDT, 1
VBZ, JJR, TO, 7
IN, WDT, VBZ, 10
VBG, IN, NNP, 2
VBP, PRP, VBD, 122
VB, VBG, PRP$, 9
RP, JJR, CC, 1
VBN, VBN, JJ, 21
VB, JJ, NN, 366
JJR, IN, PRP, 60
VB, NN, WDT, 13
WP$, NN, NNS, 3
RB, VBD, CC, 40
NN, DT, TO, 6
DT, JJS, DT, 7
VB, PDT, NN, 2
VBN, IN, JJ, 469
VBZ, RB, CD, 30
WRB, VBD, RB, 1
WDT, DT, CD, 2
EX, TO, NNS, 1
VBZ, TO, VB, 404
IN, VBD, CC, 1
RB, VBN, MD, 9
CC, MD, CD, 2
VBZ, NN, RBR, 2
VBD, RP, VBG, 10
VBZ, IN, NNS, 46
-NONE-, VBN, NN, 2
TO, JJR, CC, 1
VBD, JJR, JJ, 21
VB, PRP$, CD, 1
VBZ, NNS, VBP, 9
WDT, PRP, VBZ, 71
VBD, NNP, CC, 1
WP, NN, WP, 2
VB, VBZ, JJS, 1
CC, VBZ, VBZ, 3
RP, MD, VB, 1
VBD, -NONE-, NN, 6
IN, VBN, JJ, 21
RB, JJR, TO, 14
VB, VB, IN, 11
NNS, WDT, VBG, 3
VBP, TO, VBG, 2
NN, MD, RB, 325
RP, VBD, VBN, 1
JJS, DT, JJS, 2
VBN, DT, RBR, 8
VBZ, RB, RBS, 1
CC, NNS, PRP, 34
CD, NNS, JJR, 5
VBD, NN, -NONE-, 3
CD, VBG, JJ, 4
VBD, RP, TO, 86
RBR, NN, DT, 2
JJR, NN, RB, 7
JJ, JJS, VBZ, 1
IN, PRP, WRB, 20
IN, VBP, NNS, 3
WDT, JJR, VBD, 1
VB, NNS, JJ, 16
RB, VBZ, JJS, 1
VBP, NNS, PRP$, 2
PRP$, DT, IN, 2
TO, PRP, RB, 46
DT, NN, JJR, 17
VBD, WRB, VBG, 1
VBP, NN, -NONE-, 1
WDT, RB, JJ, 4
VBP, VBG, RBR, 1
NNS, VBZ, TO, 26
VBG, IN, TO, 13
VBN, VB, JJ, 2
-NONE-, RB, NN, 1
NNP, PRP, VBD, 2
NN, JJ, WRB, 2
VB, JJ, TO, 155
IN, VBN, PRP$, 13
RB, JJ, VBZ, 20
RB, TO, WRB, 2
VBD, NN, CD, 5
CC, NN, JJ, 48
TO, VBG, CC, 3
TO, WP, NN, 7
EX, VBN, NN, 1
WP, PRP$, JJS, 1
VBZ, VBP, JJ, 4
RP, VBN, CC, 6
RP, NNS, JJ, 1
VBN, PRP, NNP, 1
VBG, NNS, CD, 4
IN, RBR, JJ, 1
NNS, TO, VBG, 14
VBN, RBR, IN, 11
JJ, NNS, JJS, 1
VBZ, NNP, RB, 1
DT, MD, VB, 150
VBN, VBZ, IN, 10
TO, JJR, PRP$, 3
NN, RB, MD, 68
WRB, JJR, IN, 1
PRP, IN, JJR, 7
VBZ, TO, RB, 5
PRP$, VBD, JJ, 2
RB, VBG, VBZ, 3
VBD, PRP, NNS, 12
NNS, VBD, VBZ, 3
RB, VBG, VBD, 3
NNS, EX, VBZ, 8
NNS, NN, TO, 34
VB, WP, IN, 3
JJ, VBD, VBD, 1
CC, VBD, TO, 110
PRP, RB, VBP, 680
WP$, JJ, NNS, 2
VB, VBN, PRP, 77
JJ, NN, VBD, 810
RB, VBN, EX, 5
VBN, IN, RBR, 2
WDT, NN, NNS, 10
RB, JJS, VBN, 2
JJ, DT, VBD, 2
CC, VBZ, WP, 4
NN, WRB, MD, 6
PRP, RP, CC, 11
JJS, VBG, JJ, 1
VBD, NNP, NNS, 5
VBD, IN, -NONE-, 1
VBP, RP, NN, 7
TO, NNS, PRP, 6
CD, IN, RB, 2
VBG, NN, PRP, 35
NN, VBG, VBD, 13
NNS, CC, JJR, 12
VBP, VBZ, JJ, 10
WP, PRP$, JJ, 5
JJ, DT, NNP, 2
VBP, PRP, NN, 11
VBD, MD, PRP, 2
IN, NN, EX, 33
VBD, VB, VBD, 1
NN, -NONE-, VB, 2
VBP, NNS, RB, 11
NNS, VB, PRP$, 2
DT, NNS, DT, 145
NN, NN, WP, 111
NNP, CC, NN, 3
RB, VBZ, DT, 174
VBP, VBD, WP, 2
VBG, NN, NNP, 2
VBP, VBN, WP, 1
PDT, PRP, MD, 4
VB, JJR, DT, 3
JJR, VBD, IN, 1
CC, RB, TO, 63
VBG, RP, WRB, 1
WRB, TO, NN, 2
VB, RP, IN, 127
VBN, DT, TO, 6
JJR, PRP, VBD, 6
DT, JJR, NNS, 34
VBP, VB, NN, 1
JJR, RB, JJR, 1
NNP, NNS, MD, 1
RBR, CC, JJ, 2
JJS, VBD, VBN, 3
NNS, VBP, PRP$, 45
EX, IN, RB, 2
VBZ, WP, VBZ, 9
VBZ, VBG, PRP, 17
CC, VBZ, TO, 9
IN, NN, RBR, 2
RB, VB, VBG, 38
DT, VBZ, JJ, 45
RB, WDT, VBZ, 2
-NONE-, NNS, CC, 2
RB, CC, WRB, 3
DT, JJ, JJR, 2
VBG, NNS, VBD, 23
PRP, VBZ, WRB, 10
NN, WP, TO, 1
NNS, VBG, RB, 31
TO, RB, DT, 20
DT, DT, VBP, 1
RBR, CC, WRB, 1
VBZ, DT, CD, 10
RP, PRP, MD, 5
WRB, IN, VBG, 1
VBN, RB, PRP, 18
JJ, VBN, VBG, 20
VB, VBZ, CD, 1
PRP, IN, NNP, 3
WDT, DT, VBZ, 6
IN, WP, PRP, 102
NNS, PRP$, JJ, 45
JJ, WP, PRP, 9
VBP, VBG, VBP, 1
VBZ, RP, CC, 3
-NONE-, VBZ, DT, 2
PRP, CC, VBP, 12
NN, -NONE-, VBP, 2
VB, TO, PRP, 40
IN, CC, NN, 45
NNS, CD, MD, 5
RB, MD, VB, 173
IN, MD, VB, 99
JJR, RB, NN, 2
JJ, IN, CD, 39
NN, NN, VBN, 49
VBZ, TO, IN, 1
PRP, CD, DT, 1
VBP, WDT, VBZ, 1
EX, JJ, DT, 1
WP, NN, NN, 11
TO, NNS, IN, 79
VB, RP, DT, 138
VBZ, PRP, VBZ, 20
EX, RB, DT, 4
VBN, NN, VBZ, 22
NN, VBZ, RBR, 23
RB, RB, CD, 9
PRP, VBZ, RB, 504
TO, NNS, WRB, 3
VBG, PRP$, CD, 2
RP, IN, NNS, 30
TO, VB, PRP$, 560
VBD, VB, DT, 19
CC, WP, DT, 5
NNP, RB, TO, 1
VBG, TO, NNS, 13
VB, PDT, IN, 1
VBZ, IN, PRP, 111
PRP$, VBN, -NONE-, 1
NNS, NNS, WDT, 12
NN, NN, JJ, 185
MD, VB, RBS, 8
NNP, VBZ, PRP$, 1
JJ, VBP, JJ, 9
RBR, VBP, TO, 1
EX, VBD, IN, 12
VBZ, CC, EX, 2
EX, NN, VBG, 1
VBP, WRB, JJ, 19
JJ, WDT, VBP, 1
PRP, MD, RB, 483
RB, VBP, IN, 191
CD, WDT, JJ, 1
-NONE-, VBZ, RP, 1
JJR, PRP, VBZ, 2
VBP, WP, TO, 2
VB, VBG, CC, 9
DT, VBZ, WP, 11
DT, JJ, VBN, 103
IN, VBD, DT, 34
RB, WDT, NNS, 1
NN, NN, PRP$, 117
TO, CD, VBN, 2
NN, NNP, VBD, 5
RB, RB, MD, 15
IN, RB, IN, 430
VB, JJ, IN, 260
IN, WDT, VBG, 5
VBN, IN, NN, 884
DT, VBN, MD, 4
TO, DT, PRP$, 5
VBD, JJ, VB, 1
WRB, MD, VB, 20
CD, VBG, JJR, 1
WRB, VBG, NN, 3
CD, NNS, JJ, 60
DT, JJS, JJS, 4
EX, VBG, DT, 4
NN, MD, PRP, 21
TO, RB, NNS, 1
PRP, TO, VB, 402
RB, WP, PRP, 34
PRP, VBD, NNP, 11
WP, VBD, PRP, 37
VBP, CC, VB, 14
WRB, IN, VBN, 1
